,menace-0-sym,menace-100-sym,menace-500-sym,menace-1000-sym,menace-10000-sym,menace-50000-sym
menace-0-sym,0.2898,0.3302,0.465,0.5432,0.7075,0.7629
menace-100-sym,0.2917,0.3266,0.4781,0.5593,0.7425,0.7862
menace-500-sym,0.2268,0.2171,0.3036,0.4404,0.6751,0.7157
menace-1000-sym,0.1688,0.1437,0.1837,0.258,0.4691,0.4957
menace-10000-sym,0.0597,0.0469,0.0507,0.0469,0.0542,0.0532
menace-50000-sym,0.035,0.0233,0.0252,0.0238,0.0116,0.0093
