,menace-0-sym,menace-100-sym,menace-500-sym,menace-1000-sym,menace-10000-sym,menace-50000-sym
menace-0-sym,0.1244,0.1482,0.1529,0.1588,0.1944,0.1868
menace-100-sym,0.1275,0.155,0.1642,0.1708,0.1915,0.1769
menace-500-sym,0.1331,0.1595,0.1959,0.213,0.2627,0.2513
menace-1000-sym,0.1205,0.151,0.1897,0.2723,0.481,0.4831
menace-10000-sym,0.1094,0.1335,0.1892,0.3449,0.8346,0.9197
menace-50000-sym,0.0793,0.0945,0.1298,0.2696,0.7376,0.879
