,menace-0-sym,menace-100-sym,menace-500-sym,menace-1000-sym,menace-10000-sym,menace-50000-sym
menace-0-sym,0.7102,0.6698,0.535,0.4568,0.2925,0.2371
menace-100-sym,0.7083,0.6734,0.5219,0.4407,0.2575,0.2138
menace-500-sym,0.7732,0.7829,0.6964,0.5596,0.3249,0.2843
menace-1000-sym,0.8312,0.8563,0.8163,0.742,0.5309,0.5043
menace-10000-sym,0.9403,0.9531,0.9493,0.9531,0.9458,0.9468
menace-50000-sym,0.965,0.9767,0.9748,0.9762,0.9884,0.9907
