,menace-0-sym,menace-100-sym,menace-500-sym,menace-1000-sym,menace-10000-sym,menace-50000-sym
menace-0-sym,0.5858,0.5216,0.3821,0.298,0.0981,0.0503
menace-100-sym,0.5808,0.5184,0.3577,0.2699,0.066,0.0369
menace-500-sym,0.6401,0.6234,0.5005,0.3466,0.0622,0.033
menace-1000-sym,0.7107,0.7053,0.6266,0.4697,0.0499,0.0212
menace-10000-sym,0.8309,0.8196,0.7601,0.6082,0.1112,0.0271
menace-50000-sym,0.8857,0.8822,0.845,0.7066,0.2508,0.1117
