,menace-0-sym,menace-100-sym,menace-500-sym,menace-1000-sym,menace-10000-sym,menace-50000-sym
menace-0-sym,0.4142,0.4784,0.6179,0.702,0.9019,0.9497
menace-100-sym,0.4192,0.4816,0.6423,0.7301,0.934,0.9631
menace-500-sym,0.3599,0.3766,0.4995,0.6534,0.9378,0.967
menace-1000-sym,0.2893,0.2947,0.3734,0.5303,0.9501,0.9788
menace-10000-sym,0.1691,0.1804,0.2399,0.3918,0.8888,0.9729
menace-50000-sym,0.1143,0.1178,0.155,0.2934,0.7492,0.8883
