,menace-0,menace-100,menace-500,menace-1000,menace-10000,menace-50000
menace-0,0.4142,0.4184,0.4692,0.5006,0.7575,0.8664
menace-100,0.3974,0.4156,0.4608,0.4991,0.7591,0.8842
menace-500,0.3811,0.3807,0.4293,0.4721,0.7824,0.9055
menace-1000,0.3467,0.3569,0.3981,0.4429,0.8004,0.9158
menace-10000,0.2258,0.2259,0.2316,0.2409,0.6604,0.9283
menace-50000,0.1496,0.1475,0.1403,0.1522,0.4108,0.9206
