,menace-0,menace-100,menace-500,menace-1000,menace-10000,menace-50000
menace-0,0.7102,0.7008,0.6601,0.6327,0.3919,0.2984
menace-100,0.7269,0.7076,0.6682,0.6323,0.3989,0.2849
menace-500,0.7421,0.7359,0.6989,0.6561,0.3946,0.2716
menace-1000,0.7683,0.7611,0.7246,0.6937,0.3842,0.2718
menace-10000,0.8798,0.877,0.8763,0.8758,0.8238,0.7307
menace-50000,0.9336,0.9302,0.939,0.9408,0.9618,0.9657
