,menace-0,menace-100,menace-500,menace-1000,menace-10000,menace-50000
menace-0,0.1244,0.1192,0.1293,0.1333,0.1494,0.1648
menace-100,0.1243,0.1232,0.129,0.1314,0.158,0.1691
menace-500,0.1232,0.1166,0.1282,0.1282,0.177,0.1771
menace-1000,0.115,0.118,0.1227,0.1366,0.1846,0.1876
menace-10000,0.1056,0.1029,0.1079,0.1167,0.4842,0.659
menace-50000,0.0832,0.0777,0.0793,0.093,0.3726,0.8863
