,menace-0,menace-100,menace-500,menace-1000,menace-10000,menace-50000
menace-0,0.2898,0.2992,0.3399,0.3673,0.6081,0.7016
menace-100,0.2731,0.2924,0.3318,0.3677,0.6011,0.7151
menace-500,0.2579,0.2641,0.3011,0.3439,0.6054,0.7284
menace-1000,0.2317,0.2389,0.2754,0.3063,0.6158,0.7282
menace-10000,0.1202,0.123,0.1237,0.1242,0.1762,0.2693
menace-50000,0.0664,0.0698,0.061,0.0592,0.0382,0.0343
